Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,81500,1,700,0.87,79000,86400,78400,2323375,190046462450,2011557816500,24681691,KSQ
006280,KR7006280002,녹십자,KOSPI,,172000,1,8900,5.46,162500,175900,160800,210568,36075653400,2010084536000,11686538,STK
000155,KR7000151001,두산우,KOSPI,,501000,2,-1000,-0.2,510000,514000,497000,13218,6647153500,2002227462000,3996462,STK
047040,KR7047040001,대우건설,KOSPI,,4795,2,-25,-0.52,5130,5130,4785,6274673,30568758295,1992910549210,415622638,STK
222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,52500,1,400,0.77,51800,53000,51100,733536,38180890350,1960466445000,37342218,KSQ
069620,KR7069620003,대웅제약,KOSPI,,169000,1,1500,0.9,167300,169400,165000,26560,4460165700,1958131175000,11586575,STK
178320,KR7178320008,서진시스템,KOSDAQ,벤처기업부,34900,1,1650,4.96,34050,35800,32900,1470681,50761611225,1949977437100,55873279,KSQ
483650,KR7483650008,달바글로벌,KOSPI,,154700,1,2100,1.38,152200,157000,150200,143808,22248604700,1917145275500,12392665,STK
00680K,KR700680K019,미래에셋증권2우B,KOSPI,,14010,1,670,5.02,13670,14200,13220,1773386,24667542500,1914865532820,136678482,STK
140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,270000,1,3500,1.31,264500,277000,260000,74266,20013949500,1889048790000,6996477,KSQ
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,48850,2,-450,-0.91,48600,50200,47950,582353,28795910100,1868911897600,38258176,KSQ
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,67200,1,2000,3.07,66700,70300,65400,486297,33200519550,1846921305600,27483948,KSQ
006040,KR7006040000,동원산업,KOSPI,,41200,2,-150,-0.36,41800,41800,40900,62579,2579521800,1818897023200,44147986,STK
090710,KR7090710005,휴림로봇,KOSDAQ,중견기업부,15060,1,240,1.62,14990,15570,14020,29800791,444196526520,1799025386820,119457197,KSQ
017960,KR7017960006,한국카본,KOSPI,,34500,1,200,0.58,34950,34950,33900,296090,10208937625,1790841594000,51908452,STK
008770,KR7008770000,호텔신라,KOSPI,,45550,2,-150,-0.33,45800,45950,45400,128641,5867797350,1787751911550,39248121,STK
466100,KR7466100005,클로봇,KOSDAQ,기술성장기업부,71300,1,100,0.14,71900,73800,70500,810123,58251257450,1781939510700,24992139,KSQ
007070,KR7007070006,GS리테일,KOSPI,,21000,1,400,1.94,20400,21100,20400,84896,1778364350,1755755715000,83607415,STK
032350,KR7032350001,롯데관광개발,KOSPI,,21850,2,-650,-2.89,22700,23200,21450,646278,14171060375,1737937725400,79539484,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,36650,1,3150,9.4,33050,37300,32900,2537236,90116129925,1732383964650,47268321,KSQ
323280,KR7323280008,태성,KOSDAQ,중견기업부,56400,1,4400,8.46,51100,56700,50500,923405,50289800250,1720241172000,30500730,KSQ
073240,KR7073240004,금호타이어,KOSPI,,5980,2,-50,-0.83,6000,6030,5920,481939,2876261710,1717816516260,287260287,STK
003570,KR7003570009,SNT다이내믹스,KOSPI,,51400,2,-300,-0.58,53200,53200,50900,54676,2813240450,1709188625800,33252697,STK
375500,KR7375500006,DL이앤씨,KOSPI,,44050,1,150,0.34,45950,45950,43800,361003,16047826050,1704454093150,38693623,STK
290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,68200,1,3300,5.08,63300,69400,63000,877610,58903288750,1694228696600,24842063,KSQ
112610,KR7112610001,씨에스윈드,KOSPI,,39950,2,-450,-1.11,40650,40750,39900,208441,8367352475,1684747549850,42171403,STK
395400,KR7395400005,SK리츠,KOSPI,,5600,1,30,0.54,5530,5670,5530,543413,3046438500,1682731512000,300487770,STK
085620,KR7085620003,미래에셋생명,KOSPI,,9470,1,170,1.83,9280,9550,9230,69934,660739480,1676343309830,177016189,STK
005070,KR7005070008,코스모신소재,KOSPI,,51200,2,-700,-1.35,50800,52200,50100,331421,16933022500,1664550707200,32510756,STK
388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,142000,1,7000,5.19,142300,148500,128100,1192488,164020554950,1660944890000,11696795,KSQ
348370,KR7348370008,엔켐,KOSDAQ,중견기업부,75800,1,2900,3.98,72200,78500,70800,659173,50316564100,1656240308800,21850136,KSQ
298020,KR7298020009,효성티앤씨,KOSPI,,381000,1,20500,5.69,374500,390000,371000,69492,26647693000,1648846842000,4327682,STK
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,24700,1,50,0.2,23500,25500,23150,3344219,82796111150,1623544535600,65730548,KSQ
020560,KR7020560009,아시아나항공,KOSPI,,7880,1,130,1.68,7770,7940,7750,156116,1232234975,1623206802680,205990711,STK
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,20150,1,2050,11.33,18000,20700,17800,2439332,47397989685,1601341173900,79471026,KSQ
006360,KR7006360002,GS건설,KOSPI,,18680,2,-130,-0.69,19020,19050,18670,593119,11153194080,1598662233200,85581490,STK
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,74900,1,4900,7.0,70600,74900,69500,723817,53029285850,1597982437100,21334879,KSQ
161890,KR7161890009,한국콜마,KOSPI,,67100,1,400,0.6,67500,68000,66700,160343,10770637500,1583900666700,23605077,STK
060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,30000,1,250,0.84,29300,30250,29100,301566,9025689250,1567165620000,52238854,KSQ
007310,KR7007310006,오뚜기,KOSPI,,389000,1,1500,0.39,388500,390500,387500,4805,1869453000,1559045870000,4007830,STK
099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,141700,2,-1200,-0.84,142000,144400,135000,186153,26231120600,1551796092600,10951278,KSQ
089030,KR7089030001,테크윙,KOSDAQ,중견기업부,41500,1,3000,7.79,39050,41500,38650,1618585,65855891200,1537726267500,37053645,KSQ
034230,KR7034230003,파라다이스,KOSPI,,16580,2,-330,-1.95,16920,17170,16400,612776,10173181095,1532084168220,92405559,STK
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,71000,1,2500,3.65,67700,71200,67100,350068,24286514000,1530930045000,21562395,KSQ
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,23450,1,1350,6.11,21800,24150,21700,1310084,30581434400,1511002063200,64435056,KSQ
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,68500,1,200,0.29,68900,71500,68200,177860,12405900600,1502147049000,21929154,KSQ
003540,KR7003540002,대신증권,KOSPI,,29550,1,500,1.72,29050,29800,28500,254980,7488862975,1500353970000,50773400,STK
077970,KR7077970002,STX엔진,KOSPI,,37250,1,50,0.13,37800,38550,36800,445488,16626907125,1495515346750,40148063,STK
195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,52700,1,100,0.19,51500,54300,51400,381658,20117599850,1492985255700,28329891,KSQ
007340,KR7007340003,DN오토모티브,KOSPI,,25350,1,800,3.26,24500,25500,24050,200051,4956508000,1483250427750,58510865,STK
007810,KR7007810005,코리아써키트,KOSPI,,62700,2,-2900,-4.42,63100,64000,60300,430602,26729065100,1481021087700,23620751,STK
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,중견기업부,16350,1,110,0.68,15930,17080,15860,770036,12727324300,1468015994850,89786911,KSQ
032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,8770,1,300,3.54,9840,9840,8500,38649712,350899160680,1462457048300,166756790,KSQ
000500,KR7000500009,가온전선,KOSPI,,88100,3,0,0.0,90200,90200,81200,49097,4328807000,1457448431500,16543115,STK
082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,34050,1,50,0.15,32000,35150,31600,741739,25172635675,1453267245450,42680389,KSQ
003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,12850,1,550,4.47,12610,13190,12450,2278490,29363553100,1439272229850,112005621,KSQ
001120,KR7001120005,LX인터내셔널,KOSPI,,36900,1,300,0.82,36550,37400,36300,139555,5170834250,1430244000000,38760000,STK
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,17430,1,1170,7.2,16420,17430,16090,1785223,30030139080,1430050450500,82045350,KSQ
253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,47200,1,100,0.21,47250,48800,46800,197846,9451314400,1418761105600,30058498,KSQ
005440,KR7005440003,현대지에프홀딩스,KOSPI,,8990,1,70,0.78,8960,9080,8800,170260,1525814780,1401579665990,155904301,STK
096530,KR7096530001,씨젠,KOSDAQ,우량기업부,26250,1,250,0.96,26250,26950,25900,423086,11167968650,1370932342500,52225994,KSQ
319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,47000,1,5200,12.44,42400,47100,42000,1025822,45912026525,1361435558000,28966714,KSQ
003090,KR7003090008,대웅,KOSPI,,23400,1,250,1.08,23200,23600,23000,83891,1956328350,1360522332000,58141980,STK
120110,KR7120110002,코오롱인더,KOSPI,,49400,1,300,0.61,49300,50200,48350,353951,17438845100,1359443095400,27519091,STK
174900,KR7174900001,앱클론,KOSDAQ,관리종목(소속부없음),67900,1,200,0.3,66700,70000,64600,219122,14965509250,1351779952600,19908394,KSQ
294870,KR7294870001,HDC현대산업개발,KOSPI,,20500,1,200,0.99,20450,20750,20200,233084,4749583375,1351100265000,65907330,STK
051915,KR7051911006,LG화학우,KOSPI,,172700,2,-2000,-1.14,174600,176900,172300,41038,7165491950,1327855760000,7688800,STK
030610,KR7030610000,교보증권,KOSPI,,11590,1,230,2.02,11390,11650,11230,169686,1948957885,1320830717990,113962961,STK
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,70400,2,-2200,-3.03,72800,76200,69800,531588,38581893550,1315849849600,18691049,KSQ
456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,80000,2,-2100,-2.56,80500,83100,78500,562259,45115940450,1313644800000,16420560,KSQ
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,55900,1,100,0.18,54500,56900,53600,388861,21548390150,1297345423400,23208326,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,44200,1,2100,4.99,41450,44500,40950,615392,26868405775,1293148173200,29256746,KSQ
484870,KR7484870001,엠앤씨솔루션,KOSPI,,141200,2,-3300,-2.28,145000,145000,141000,17896,2533604350,1292530680000,9153900,STK
001800,KR7001800002,오리온홀딩스,KOSPI,,20600,1,50,0.24,20800,20800,20500,106260,2189429075,1290495693200,62645422,STK
330590,KR7330590001,롯데리츠,KOSPI,,4465,1,70,1.59,4400,4470,4375,452895,2017879164,1290246067060,288968884,STK
003530,KR7003530003,한화투자증권,KOSPI,,6010,1,380,6.75,5860,6410,5730,21909208,134000723475,1289432127750,214547775,STK
204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,22150,1,400,1.84,21500,22550,21350,363520,7961843350,1281343521900,57848466,KSQ
000080,KR7000080002,하이트진로,KOSPI,,18020,1,50,0.28,18020,18080,17930,130346,2346680435,1263807670220,70133611,STK
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,63100,1,1200,1.94,61000,63400,60000,292857,18146909500,1247971229400,19777674,KSQ
004000,KR7004000006,롯데정밀화학,KOSPI,,48100,1,1900,4.11,46700,48750,46300,114394,5474129825,1240980000000,25800000,STK
229640,KR7229640008,LS에코에너지,KOSPI,,40500,1,250,0.62,40250,40850,39100,132482,5342810550,1240307599500,30624879,STK
249420,KR7249420001,일동제약,KOSPI,,38975,1,325,0.84,39200,40300,38250,570565,22218637000,1233100871700,31638252,STK
415640,KR7415640002,KB발해인프라,KOSPI,,9970,2,-20,-0.2,9990,10190,9960,89159,893211505,1221779113560,122545548,STK
005300,KR7005300009,롯데칠성,KOSPI,,131200,1,700,0.54,130500,132200,129400,12871,1687802000,1217389580800,9278884,STK
300720,KR7300720000,한일시멘트,KOSPI,,16460,2,-70,-0.42,16700,16700,16460,90194,1491488605,1210554140140,73545209,STK
185750,KR7185750007,종근당,KOSPI,,86900,3,0,0.0,86000,87500,85300,33473,2895911550,1199461582000,13802780,STK
071320,KR7071320006,지역난방공사,KOSPI,,103400,2,-2600,-2.45,106500,106900,103300,12271,1284162000,1197242129600,11578744,STK
183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,113800,1,7000,6.55,106000,113900,104500,231937,25405933150,1190425839200,10460684,KSQ
100090,KR7100090000,SK오션플랜트,KOSPI,,19040,2,-40,-0.21,19180,19250,18730,411796,7803972850,1189583576160,62478129,STK
161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,50500,3,0,0.0,49300,51500,48700,703057,35192025775,1181838723500,23402747,KSQ
056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,31400,2,-450,-1.41,32000,32900,30400,1290319,40480031800,1177881572800,37512152,KSQ
131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,60900,1,1600,2.7,58900,61100,58500,450918,27065932500,1177028794200,19327238,KSQ
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,75900,2,-200,-0.26,74400,77600,73600,340380,25720719150,1174977008700,15480593,KSQ
285130,KR7285130001,SK케미칼,KOSPI,,67800,2,-200,-0.29,68000,68500,66900,45546,3085423900,1172856334800,17298766,STK
000815,KR7000811000,삼성화재우,KOSPI,,373000,1,1500,0.4,372500,376000,370000,14682,5477989250,1156117230000,3099510,STK
388210,KR7388210007,씨엠티엑스,KOSDAQ,벤처기업부,123600,1,11800,10.55,110700,123600,110000,432777,51405968000,1146104236800,9272688,KSQ
192080,KR7192080000,더블유게임즈,KOSPI,,53300,1,900,1.72,52800,53700,52500,38484,2045919850,1145731789800,21495906,STK
137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,47850,1,100,0.21,47000,49200,46800,578796,27771519275,1133601334800,23690728,KSQ
006120,KR7006120000,SK디스커버리,KOSPI,,61500,1,400,0.65,62500,62500,60700,17500,1070212050,1128393082500,18347855,STK
115180,KR7115180002,큐리언트,KOSDAQ,벤처기업부,30200,2,-850,-2.74,30000,31200,30000,144954,4398037550,1123194383400,37191867,KSQ
075580,KR7075580001,세진중공업,KOSPI,,19740,1,300,1.54,19760,20000,19140,423845,8328057690,1122208261440,56849456,STK
082640,KR7082640004,동양생명,KOSPI,,6900,1,240,3.6,6660,6940,6650,137702,939962655,1113374236500,161358585,STK
124500,KR7124500000,아이티센글로벌,KOSDAQ,중견기업부,47800,1,4200,9.63,44150,48750,44150,853980,40266476750,1109176390600,23204527,KSQ
095610,KR7095610002,테스,KOSDAQ,우량기업부,56100,1,1900,3.51,53100,56100,52500,522610,28448858950,1108997478600,19768226,KSQ
218410,KR7218410009,RFHIC,KOSDAQ,우량기업부,41800,1,2950,7.59,39800,42450,38900,1136000,46846628200,1107843875600,26503442,KSQ
298050,KR7298050006,HS효성첨단소재,KOSPI,,245000,1,17000,7.46,235000,258000,232500,96377,23793600500,1097587260000,4479948,STK
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,4460,1,35,0.79,4425,4470,4400,505625,2249952547,1097556940000,246089000,STK
080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,31850,1,1150,3.75,31700,32200,30600,2736914,85899223825,1097004231050,34442833,KSQ
012630,KR7012630000,HDC,KOSPI,,18140,2,-160,-0.87,18500,18510,18000,197482,3591235250,1083714818940,59741721,STK
056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,30050,1,350,1.18,29200,30600,28950,268276,8056492675,1079058238000,35908760,KSQ
347700,KR7347700007,스피어,KOSDAQ,기술성장기업부,23100,1,550,2.44,21800,24150,21400,2635566,60210408050,1077914468400,46662964,KSQ
000670,KR7000670000,영풍,KOSPI,,59200,2,-200,-0.34,58400,59700,57600,31941,1885192650,1070214640000,18077950,STK
089860,KR7089860001,롯데렌탈,KOSPI,,29400,3,0,0.0,29750,29750,29000,155030,4544285000,1067496007200,36309388,STK
376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,67800,2,-3400,-4.78,70000,71700,67700,281452,19420949600,1061848954200,15661489,KSQ
137310,KR7137310009,에스디바이오센서,KOSPI,,8710,2,-20,-0.23,8700,8870,8570,110305,955594290,1060434678420,121749102,STK
009240,KR7009240003,한샘,KOSPI,,44900,1,250,0.56,44500,45500,44500,44372,1997363625,1056673367200,23533928,STK
280360,KR7280360009,롯데웰푸드,KOSPI,,113100,2,-1300,-1.14,113700,114300,112300,23174,2626282100,1052347319400,9304574,STK
